SYM,NAME,LAST,CHANGE,PERCENT,HIGH,LOW,VOLUME,TIME
AAON,Aaon Inc,24.19,+0.28,+1.17%,24.21,23.72,86513,11:14
AAT,American Assets Trust,39.67,+0.04,+0.10%,40.21,39.37,44738,11:14
AAWW,Atlas Air Worldwide Holdings,55.58,+0.99,+1.81%,55.79,54.68,337012,11:16
ABAX,Abaxis Inc,52.9,-0.03,-0.06%,53.03,52.78,77722,11:16
ABM,ABM Industries Incorporated,32.86,+0.47,+1.45%,33.3,32.05,115616,11:15
ABMD,Abiomed,61.05,+1.39,+2.33%,61.07,59.73,213632,11:16
ACAT,Arctic Cat Inc,32.65,+0.04,+0.12%,33.19,32.19,84302,11:15
ACET,Aceto Corp,23.97,+0.14,+0.59%,24.13,23.78,23568,11:16
ACI,Arch Coal,0.54,unch,unch,0.57,0.53,1905511,11:16
ACOR,Acorda Therapeutics,30.4,+0.41,+1.37%,30.64,29.66,192107,11:16
ADC,Agree Realty Corp,30.32,-0.17,-0.56%,30.55,30.2,59049,11:16
ADTN,Adtran Inc,16.91,-0.02,-0.12%,17.14,16.9,68353,11:15
AEC,Associated Estates Realty Corp,28.63,-0.07,-0.24%,28.67,28.63,145708,11:12
AEGN,Aegoin Corp,18.2,+0.11,+0.61%,18.27,17.9,33973,11:11
AEIS,Advanced Energy Industries,29.24,+0.07,+0.24%,29.28,28.9,52166,11:16
AEL,American Equity Investment Life,25.79,+0.30,+1.18%,25.89,25.45,172810,11:15
AF,Astoria Financial Corp,13.2,+0.16,+1.23%,13.25,13.07,89308,11:16
AFAM,Almost Family Inc,36.02,-2.54,-6.59%,38.6,36.02,119775,11:15
AFFX,Affymetrix,11.88,+0.22,+1.89%,11.91,11.66,126466,11:16
AGYS,Agilysys Inc,9.34,+0.22,+2.41%,9.34,9.28,1136,10:59
AHS,Amn Healthcare Services Inc,27.38,+0.77,+2.89%,27.6,26.56,203005,11:15
AIN,Albany International Corp,39.94,+0.08,+0.20%,40.15,39.46,57935,11:16
AIR,AAR Corp,30.34,+0.37,+1.23%,30.49,29.99,40526,11:14
AIRM,Air Methods Corp,41.88,+0.12,+0.29%,42.3,41.51,65058,11:14
AIT,Applied Industrial Technologies,42.73,+0.29,+0.68%,42.9,42.6,75476,11:12
AJRD,Gencorp Inc,20.79,+0.21,+1.02%,21.03,20.55,42080,11:16
AKR,Acadia Realty Trust,31.01,-0.28,-0.89%,31.44,30.88,40911,11:14
AKS,AK Steel Holding Corp,5.66,+0.22,+4.04%,5.76,5.4,4628088,11:16
ALE,Allete Inc,49.58,-0.2,-0.40%,49.73,49.21,97040,11:15
ALGT,Allegiant Travel Company,160.64,+1.70,+1.07%,163.44,159,28107,11:13
ALOG,Analogic Corp,84.53,+0.43,+0.51%,84.59,83.66,7959,11:16
AMED,Amedisys Inc,32.88,+0.32,+0.98%,32.92,31.94,72628,11:16
AMRI,Albany Molecular Research,20,+0.03,+0.15%,20.13,19.6,730528,11:15
AMSF,Amerisafe Inc,43.3,+0.05,+0.12%,43.54,42.85,15287,11:14
AMSG,Amsurg Corp,69.31,+0.94,+1.37%,69.33,68.35,179229,11:16
AMWD,American Woodmark Corp,55.68,+1.85,+3.44%,56.19,54.3,79637,11:16
ANDE,The Andersons,42.47,-0.68,-1.58%,43.12,42.29,83499,11:16
ANGO,Angiodynamics,16.32,+0.24,+1.49%,16.35,16.14,8466,11:16
ANIK,Anika Therapeutics Inc,33.28,+0.13,+0.39%,33.51,33.09,32691,11:16
ANIP,ANI Pharmaceuticals Inc,51.57,+1.89,+3.80%,51.67,49.95,76003,11:16
APEI,American Public Education,24.59,+0.20,+0.82%,24.72,24.17,16297,11:11
APOG,Apogee Enterprises,55.94,+0.58,+1.05%,56.34,55.24,41413,11:13
ARCB,Arcbest Corp.,35.1,+0.31,+0.89%,35.51,34.53,118699,11:16
AREX,Approach Resources Inc,7.01,-0.06,-0.85%,7.21,6.94,129410,11:16
ARO,Aeropostale Inc,1.85,+0.04,+2.21%,1.86,1.78,943520,11:16
ASEI,American Science and Engineering,40.62,+0.85,+2.14%,40.88,39.65,15467,11:14
ASGN,On Assignment,38.3,+0.36,+0.95%,38.43,37.75,83971,11:16
ASTE,Astec Industries,41.99,+0.36,+0.86%,42.23,41.54,16148,11:16
ATNI,Atlantic Tele-Network,67.48,+1.03,+1.55%,67.59,66.49,4910,11:00
ATU,Actuant Corp,23.76,+0.20,+0.85%,23.89,23.43,74295,11:15
AVA,Avista Corp,31.31,-0.29,-0.92%,31.93,31.23,83894,11:15
AVAV,Aerovironment,26.54,+0.37,+1.41%,26.73,25.95,31786,11:16
AVD,American Vanguard Corp,14,-0.03,-0.21%,14.18,14,38798,11:15
AWR,American States Water Company,38.21,-0.38,-0.98%,38.66,38.16,25244,11:16
AXE,Anixter International Inc,69.18,+0.47,+0.68%,69.73,68.7,36076,11:16
AZZ,Azz Inc,49.45,+0.71,+1.46%,49.5,48.68,12872,11:13
B,Barnes Group,40.79,+0.51,+1.27%,40.95,40.26,20424,11:16
BABY,Natus Medical Inc,40.1,+0.40,+1.01%,40.22,39.49,53907,11:16
BANR,Banner Corp,45.45,+0.59,+1.32%,45.6,45.04,32659,11:15
BAS,Basic Energy Services,8.58,-0.36,-4.03%,8.95,8.57,1375161,11:16
BBCN,Bbcn Bancorp Inc,14.72,+0.19,+1.31%,14.76,14.51,126929,11:15
BBG,Bill Barrett Corp,9.51,+0.19,+2.04%,9.67,9.15,551751,11:16
BBOX,Black Box Corp,21.09,+0.45,+2.18%,21.16,20.7,9045,11:16
BCC,Boise Cascade L.L.C. Common ST,36.55,+0.45,+1.25%,36.69,36.16,40021,11:16
BCEI,Bonanza Creek Energy Inc,20.74,+0.06,+0.29%,21.14,20.25,259123,11:16
BCO,Brink's Company,32.64,+0.49,+1.52%,32.67,32.18,102999,11:15
BCOR,Blucora Inc,16.46,+0.46,+2.88%,16.46,16.04,78737,11:15
BCPC,Balchem Corp,58.44,+0.96,+1.67%,58.45,57.2,56942,11:09
BELFB,Bel Fuse Inc,21.74,+0.35,+1.64%,21.74,21.36,2713,11:11
BFS,Saul Centers,51.78,+0.06,+0.12%,51.78,50.98,3535,10:57
BGC,General Cable Corp,19.84,+0.84,+4.42%,20,18.99,518537,11:15
BGFV,Big 5 Sporting Goods Corp,14.44,+0.15,+1.05%,14.44,14.1,22548,11:16
BGG,Briggs & Stratton Corp,18.3,-0.2,-1.08%,18.67,18.28,171991,11:15
BGS,B&G Foods Holdings,30.29,+0.07,+0.23%,30.36,30.04,33872,11:15
BH,Biglari Holdings Inc,363.07,+1.01,+0.28%,366,361.72,3099,11:08
BHE,Benchmark Electronics,23.4,+0.25,+1.08%,23.44,23.13,39135,11:16
BJRI,Bj's Restaurants,47.15,+1.48,+3.24%,47.66,46.03,152101,11:16
BKE,Buckle Inc,43.76,+0.52,+1.20%,43.86,43.13,56854,11:16
BKMU,Bank Mutual Corp,7.18,+0.08,+1.13%,7.22,7.1,14397,11:10
BKS,Barnes & Noble,24.2,+0.21,+0.88%,24.29,23.96,98963,11:15
BLKB,Blackbaud Inc,51.85,+0.62,+1.21%,51.96,50.98,43050,11:15
BMI,Badger Meter,64.48,+0.92,+1.45%,64.63,63.28,6466,11:16
BOBE,Bob Evans Farms,46.4,+0.46,+1.00%,46.44,45.87,64221,11:16
BOFI,Bofi Holding,95.9,+1.32,+1.40%,96.25,94.61,36672,11:08
BPFH,Boston Private Financial Holdings,12.87,+0.18,+1.42%,12.93,12.72,85801,11:16
BRC,Brady Corp,25.15,+0.12,+0.48%,25.32,25,41743,11:16
BRKL,Brookline Bancorp,11.19,+0.15,+1.36%,11.22,11.02,43314,11:16
BRKS,Brooks Automation,11.76,unch,unch,11.84,11.65,20199,11:16
BRLI,Bio-Reference Laboratories,32.86,+0.31,+0.95%,33.1,32.48,11181,11:10
BRS,Bristow Group Inc,58.83,-0.42,-0.71%,59.37,58.02,39885,11:16
BYD,Boyd Gaming Corp,14.98,+0.16,+1.08%,15.15,14.83,337960,11:16
CACI,Caci International,86.88,+1.13,+1.32%,87.12,85.75,21333,11:15
CAL,Caleres Inc.,31.3,+0.19,+0.61%,31.39,30.81,67117,11:16
CALM,Cal-Maine Foods,56.18,-0.53,-0.93%,57.14,55.99,153454,11:16
CAMP,Calamp Corp,19.55,-0.02,-0.10%,19.87,19.42,416156,11:15
CAS,Castle [A.M.] & Co.,6.1,+0.17,+2.87%,6.18,5.93,59046,11:16
CASY,Caseys General Stores,87,-0.52,-0.59%,87.84,86.73,71989,11:15
CATM,Cardtronics Inc,37.16,+0.52,+1.42%,37.27,36.84,57487,11:15
CATO,Cato Corp,37.25,+0.30,+0.81%,37.45,36.86,44038,11:13
CBB,Cincinnati Bell Inc,3.65,+0.03,+0.83%,3.65,3.6,85296,11:16
CBK,Christopher & Banks Corp,5.59,-0.08,-1.41%,5.68,5.58,80990,11:12
CBM,Cambrex Corp,42.34,+1.88,+4.65%,42.44,40.43,199109,11:16
CBR,Ciber Inc,3.41,+0.07,+2.10%,3.44,3.36,8081,11:15
CBRL,Cracker Barrel Old Country Store,146.61,+0.06,+0.04%,147.88,145.46,138685,11:15
CBU,Community Bank System,36.16,+0.52,+1.46%,36.19,35.54,26842,11:16
CCC,Calgon Carbon Corp,21.12,+0.28,+1.34%,21.2,20.86,32766,11:15
CCMP,Cabot Microelectronics Corp,46.42,+0.05,+0.11%,46.74,45.95,30743,11:14
CCRN,Cross Country Healthcare,10.59,+0.14,+1.34%,10.78,10.44,23906,11:15
CDI,Cdi Corp,12.62,+0.04,+0.32%,12.74,12.46,6843,11:13
CDR,Cedar Shopping Centers Inc,6.69,-0.05,-0.74%,6.74,6.65,50237,11:16
CECO,Career Education Corp,3.84,-0.01,-0.26%,3.93,3.82,157964,11:14
CENTA,Central Garden & Pet Company,10.01,+0.09,+0.91%,10.14,9.86,16692,11:10
CENX,Century Aluminum Company,12.67,+0.46,+3.77%,12.78,12.07,911339,11:16
CEVA,Ceva Inc,20.59,+0.25,+1.23%,20.92,20.31,19667,11:13
CFNL,Cardinal Financial Corp,21.15,+0.39,+1.88%,21.18,20.75,14867,11:14
CGI,Celadon Group,22.96,+0.10,+0.44%,23,22.74,139387,11:16
CHCO,City Holding Company,46.75,+0.42,+0.91%,47,45.99,6377,11:14
CHE,Chemed Inc,124.69,+0.06,+0.05%,125,124.1,21672,11:14
CHSP,Chesapeake Lodging Trust,31.45,unch,unch,31.6,31.2,62983,11:14
CIR,Circor International,54.27,+0.82,+1.53%,54.56,53.39,14603,11:16
CKH,Seacor Smit Inc,70.72,+0.57,+0.81%,70.93,70.03,25601,11:15
CKP,Checkpoint Systms,10.15,+0.23,+2.32%,10.2,9.91,48679,11:15
CLD,Cloud Peak Energy Inc,5.51,-0.11,-1.96%,5.65,5.49,558560,11:16
CLMS,Calamos Asset Management,12.23,+0.19,+1.58%,12.23,12.03,34925,11:15
CLW,Clearwater Paper Corp,58.6,-0.37,-0.63%,59.6,58.51,13828,11:15
CMN,Cantel Medical,47.84,+0.78,+1.66%,47.9,47,69825,11:13
CMO,Capstead Mortgage Corp,11.86,unch,unch,11.88,11.82,147473,11:15
CMTL,Comtech Telecommunications,30.69,+0.55,+1.82%,30.77,30.27,21807,11:07
CNMD,Conmed Corp,56.33,+0.22,+0.39%,56.81,56.04,14179,11:05
CNSL,Consolidated Communications Holdings,20.81,+0.06,+0.29%,20.91,20.57,25324,11:15
COHR,Coherent Inc,62.95,+0.26,+0.41%,63.3,62.68,36704,11:15
COHU,Cohu Inc,13.64,+0.16,+1.19%,13.72,13.4,66188,11:16
COLB,Columbia Banking System,30.94,+0.54,+1.78%,30.94,30.54,62268,11:14
COR,Coresite Realty Corp,47.6,+0.08,+0.17%,47.63,47.19,58464,11:16
CPF,Central Pacific Financial Co,23.7,+0.37,+1.59%,23.73,23.32,33951,11:16
CPLA,Capella Education Company,53.59,+0.28,+0.53%,54.18,53.11,19833,11:12
CPSI,Computer Programs and Systems,53.03,+0.35,+0.66%,53.15,52.45,6061,11:15
CRK,Comstock Resources,3.71,-0.02,-0.54%,3.78,3.66,420917,11:16
CROX,Crocs Inc,15.25,+0.22,+1.46%,15.25,14.93,414151,11:15
CRR,Carbo Ceramics,43.76,+0.07,+0.16%,44.37,43.13,143295,11:16
CRUS,Cirrus Logic,37.13,+0.05,+0.13%,37.41,36.65,417451,11:16
CRVL,Corvel Corp,33.26,+1.20,+3.74%,33.26,32.28,8800,11:14
CRY,Cryolife,10.68,+0.04,+0.38%,10.75,10.55,12967,11:16
CRZO,Carrizo Oil & Gas,50.69,-0.09,-0.18%,51.24,50.13,214034,11:16
CSGS,Csg Systems International,32.6,+0.68,+2.13%,32.66,31.95,57794,11:15
CSH,Cash America International,26.67,+0.17,+0.64%,26.9,26.41,32848,11:16
CTRE,Caretrust REIT Inc.,13.09,+0.14,+1.08%,13.12,12.96,10131,11:16
CTS,Cts Corp,19.23,+0.16,+0.84%,19.38,19.02,7777,11:14
CUB,Cubic Corp,49.4,+0.09,+0.18%,49.54,48.9,36430,11:14
CUZ,Cousins Properties Inc,10.36,+0.52,+5.28%,10.46,10.05,6522061,11:16
CVBF,Cvb Financial Corp,16.73,+0.26,+1.58%,16.76,16.47,155282,11:14
CVGW,Calavo Growers,56.49,+2.38,+4.40%,56.49,54.14,43542,11:14
CW,Curtiss-Wright Corp,73.2,+0.82,+1.13%,73.43,72.25,73934,11:14
CYBX,Cyberonics Inc,68.5,+0.15,+0.22%,68.99,67.53,213791,11:15
CYNO,Cynosure Inc,36.72,+0.34,+0.93%,36.87,36.27,16188,11:09
DAKT,Daktronics,11.15,+0.34,+3.15%,11.15,10.68,131813,11:15
DAR,Darling International Inc,15.99,+0.04,+0.25%,16.15,15.81,873699,11:16
DCOM,Dime Community Bancshares,16.68,+0.30,+1.83%,16.74,16.45,31549,11:15
DEL,Deltic Timber Corp,64.41,+0.25,+0.39%,64.43,63.86,1454,11:16
DEPO,Depomed Inc,21.95,+0.38,+1.76%,22,21.3,356976,11:16
DGII,Digi International Inc,9.77,+0.16,+1.66%,9.79,9.59,8780,11:10
DHX,Dice Holdings,8.87,+0.11,+1.26%,8.96,8.76,62512,11:16
DIN,Dineequity Inc,99.56,+1.46,+1.49%,99.57,97.94,40960,11:15
DIOD,Diodes Inc,26.11,+0.08,+0.31%,26.33,26.08,24399,11:14
DMND,Diamond Foods,28.94,+0.21,+0.73%,29.02,28.49,34019,11:14
DORM,Dorman Products,47.81,-0.04,-0.08%,48,47.54,56303,11:14
DRH,Diamondrock Hospitality Company,13.19,-0.09,-0.68%,13.31,13.14,673900,11:16
DSPG,DSP Group,11.25,+0.02,+0.18%,11.3,11.22,5108,11:12
DTSI,DTS Inc,32.18,+0.33,+1.04%,32.24,31.73,14549,11:16
DW,Drew Industries Inc,62.08,+0.66,+1.07%,62.33,60.72,17963,11:14
DXPE,Dxp Enterprises,42.23,+0.24,+0.57%,43,41.86,32236,11:16
DY,Dycom Industries,58.9,+0.52,+0.89%,58.98,58.24,62452,11:14
EBIX,Ebix Inc,35.68,+0.42,+1.19%,35.86,35.28,62566,11:16
EBS,Emergent Biosolutions,32.13,+0.67,+2.13%,32.24,31.32,92297,11:15
ECHO,Echo Global Logistics,32.88,+0.52,+1.61%,33.15,32.17,273174,11:16
ECOL,US Ecology,47.5,+1.11,+2.39%,47.5,46.48,10788,11:13
ECPG,Encore Capital Group Inc,40.42,+0.58,+1.46%,40.6,39.73,35005,11:16
EDR,Education Realty Trust Inc,32.59,-0.12,-0.37%,32.74,32.19,78751,11:15
EE,El Paso Electric Company,35.64,-0.52,-1.44%,36.14,35.61,19529,11:16
EFII,Electronics For Imaging,43.88,+0.58,+1.34%,43.91,43.45,18126,11:04
EGHT,8X8 Inc,9.02,+0.23,+2.62%,9.09,8.77,357233,11:16
EGL,Engility Holdings Inc. Common,28.05,+0.06,+0.21%,28.22,27.81,12178,11:14
EGOV,Nic Inc,17.21,+0.23,+1.35%,17.25,16.99,16559,11:15
EGP,Eastgroup Properties,56.17,-0.18,-0.32%,56.22,55.87,32278,11:16
EHTH,Ehealth Inc,12.53,-0.01,-0.08%,12.86,12.51,28516,11:14
EIG,Employers Holdings Inc,23.07,+0.47,+2.08%,23.17,22.65,66165,11:16
ELY,Callaway Golf Company,9.42,+0.07,+0.75%,9.58,9.33,137506,11:16
EME,Emcor Group,46.86,+0.68,+1.47%,47.04,46.01,34539,11:16
ENS,Enersys Inc,68.29,+1.26,+1.88%,68.45,67.03,43047,11:15
ENSG,The Ensign Group,47.88,+0.18,+0.38%,48.21,47.58,35881,11:14
ENVA,Enova International Inc. Commo,19.39,+0.07,+0.36%,19.47,19.12,85641,11:12
EPAY,Bottomline Technologies,27.14,+0.56,+2.11%,27.3,26.6,17953,11:09
EPIQ,Epiq Systems,17.05,+0.16,+0.95%,17.08,16.81,12708,11:15
EPR,Entertainment Properties Trust,57.65,-0.35,-0.60%,58.24,57.44,79668,11:16
ERA,Era Group Inc. Common Stock W,21.26,+0.04,+0.19%,21.55,20.78,47054,11:07
ESE,Esco Technologies Inc,37.95,+0.40,+1.07%,37.98,37.58,4508,11:16
ESIO,Electro Scientific Industries,5.5,-0.01,-0.18%,5.56,5.49,39590,11:13
ESND,Essendant Inc.,39.73,+0.52,+1.33%,40.56,38.99,22933,11:15
ETH,Ethan Allen Interiors Inc,25.52,+0.31,+1.23%,25.59,25.25,15414,11:15
EVR,Evercore Partners Inc,52.96,+0.93,+1.79%,53.07,52.09,85289,11:16
EXAM,Examworks Group,39.86,+0.44,+1.12%,40.04,38.9,76088,11:16
EXAR,Exar Corp,10.75,+0.07,+0.66%,10.75,10.67,26229,11:15
EXH,Exterran Holdings,33.75,-0.11,-0.32%,34.3,33.6,165657,11:16
EXLS,Exlservice Holdings,35.47,+0.11,+0.31%,35.9,35.4,18771,11:15
EXPO,Exponent Inc,85.06,+0.09,+0.11%,85.36,84.74,35890,11:13
EZPW,Ezcorp Inc,7.85,+0.10,+1.29%,7.9,7.65,141266,11:16
FARO,Faro Technologies,43.73,+0.28,+0.64%,44.02,43.16,53164,11:14
FBP,First Bancorp,6.22,+0.11,+1.80%,6.23,6.1,242323,11:16
FCF,First Commonwealth Financial Corp,9.36,+0.16,+1.74%,9.38,9.2,95438,11:16
FCFS,First Cash Financial Services,46.26,+0.22,+0.48%,46.35,45.74,44496,11:16
FELE,Franklin Electric Co.,35.38,+0.18,+0.51%,35.61,35.24,26171,11:16
FF,Futurefuel Corp,12.89,+0.17,+1.34%,12.95,12.57,33439,11:14
FFBC,First Financial Bancorp,17.66,+0.29,+1.67%,17.69,17.34,26091,11:15
FFIN,First Financial Bankshares,31.36,+0.62,+2.02%,31.5,30.89,60593,11:14
FINL,The Finish Line,26.31,+0.31,+1.19%,26.39,25.93,84989,11:14
FIX,Comfort Systems USA,23.41,+0.56,+2.45%,23.48,22.81,65603,11:15
FMBI,First Midwest Bancorp,18.2,+0.29,+1.62%,18.23,17.95,159313,11:16
FN,Fabrinet,18.6,+0.32,+1.75%,18.6,18.29,14812,11:14
FNB,F.N.B. Corp,13.84,+0.22,+1.62%,13.86,13.6,204579,11:16
FNGN,Financial Engines,43.2,+0.87,+2.06%,43.36,42.32,59366,11:16
FOR,Forestar Group Inc,13.43,-0.01,-0.07%,13.53,13.38,24176,11:15
FORR,Forrester Research,35.2,+0.48,+1.38%,35.29,34.86,2819,10:57
FRAN,Francesca's Holdings Corporatio,16.16,+0.44,+2.80%,16.19,15.66,59346,11:16
FRED,Fred's Inc,18.08,+0.29,+1.63%,18.18,17.7,19655,11:08
FSP,Franklin Street Properties,11.65,-0.04,-0.34%,11.69,11.55,159940,11:16
FSS,Federal Signal Corp,15.21,+0.14,+0.93%,15.24,14.97,34196,11:16
FTD,Ftd Companies Inc,28,+0.30,+1.08%,28.46,27.59,73692,11:15
FTK,Flotek Industries,12.16,+0.18,+1.50%,12.3,11.9,206516,11:16
FUL,H. B. Fuller Company,42.11,+0.02,+0.05%,42.58,42.03,60523,11:15
FWRD,Forward Air Corp,53.79,+0.60,+1.13%,54,52.87,76274,11:12
FXCM,FXCM Inc,1.46,+0.07,+5.04%,1.47,1.4,533352,11:16
GB,Greatbatch,53.78,+0.65,+1.22%,53.88,52.89,16766,11:16
GBCI,Glacier Bancorp,28.78,+0.51,+1.80%,28.85,28.42,60047,11:16
GCO,Genesco Inc,66.37,-0.13,-0.20%,66.43,64.28,102947,11:12
GDOT,Green Dot Corp,15.23,+0.33,+2.21%,15.24,14.86,72519,11:15
GEO,Geo Group Inc,37.82,-0.22,-0.58%,38.06,37.59,100363,11:16
GEOS,Oyo Geospace Corp,21.93,+0.26,+1.20%,22.2,20.46,25973,11:14
GFF,Griffon Corp,16.33,+0.31,+1.94%,16.39,16.02,31539,11:16
GHL,Greenhill & Co. Inc,39.89,+0.87,+2.23%,40.01,39.19,77203,11:16
GIFI,Gulf Island Fabrication,11.09,-0.11,-0.98%,11.43,11.05,25538,11:15
GIII,G-III Apparel Group,65.31,+5.22,+8.69%,65.77,63.5,1046334,11:16
GK,G&K Services,70.47,+0.97,+1.40%,70.84,69.73,13160,11:15
GLF,Gulfmark Offshore,13.13,-0.06,-0.45%,13.37,13.05,68152,11:14
GLT,Glatfelter,23.32,+0.18,+0.78%,23.42,23.01,14209,11:13
GNCMA,General Communication,16.32,+0.18,+1.12%,16.37,16.08,41699,11:16
GOV,Government Properties Income Trust,19.71,-0.04,-0.20%,19.79,19.58,141377,11:16
GPI,Group 1 Automotive,84.56,+1.66,+2.00%,84.85,83.05,47173,11:15
GPRE,Green Plains Renewable Energy,31.68,+0.60,+1.93%,32.48,31.2,749779,11:16
GSM,Globe Specialty Metals Inc,19.9,+0.31,+1.58%,20,19.63,23975,11:07
GTY,Getty Realty Corp,17.07,+0.04,+0.23%,17.14,16.88,24325,11:14
HA,Hawaiian Holdings,23.73,-0.42,-1.74%,24.35,23.68,435710,11:16
HAE,Haemonetics Corp,42.84,+0.60,+1.42%,42.84,42.23,67858,11:16
HAFC,Hanmi Financial Corp,22.75,+0.32,+1.43%,22.82,22.27,58093,11:14
HAYN,Haynes International,47.68,+0.47,+1.00%,48.43,46.87,10973,11:07
HCI,Homeowners Choice,43.76,+0.52,+1.20%,43.9,43.13,17473,11:15
HCSG,Healthcare Services Group,30.73,+0.14,+0.46%,30.74,30.5,66702,11:15
HELE,Helen of Troy Limited,90.17,+1.00,+1.12%,90.2,89.05,32232,11:15
HF,HFF Inc,41,+0.29,+0.71%,41.22,40.68,74073,11:15
HGR,Hanger Orthopedic Group,23.18,+0.30,+1.31%,23.26,22.88,16197,11:15
HHS,Harte-Hanks,6.27,+0.01,+0.16%,6.34,6.16,36336,11:13
HI,Hillenbrand Inc,31.57,+0.33,+1.06%,31.76,31.11,36721,11:14
HIBB,Hibbett Sports,46.95,+0.55,+1.19%,47.03,46.09,47690,11:14
HLIT,Harmonic Inc,7.01,+0.13,+1.89%,7.03,6.88,56842,11:15
HMN,Horace Mann Educators Corp,35.15,+0.45,+1.30%,35.25,34.69,16469,11:16
HOMB,Home Bancshares,34.86,+0.67,+1.96%,34.94,33.91,90667,11:16
HOS,Hornbeck Offshore Services,22.08,-0.14,-0.63%,22.27,21.98,255899,11:16
HPY,Heartland Payment Systems,54.56,+0.84,+1.56%,54.76,53.59,23961,11:16
HR,Healthcare Realty Trust Inc,23.78,-0.21,-0.88%,23.99,23.62,92888,11:16
HSII,Heidrick & Struggles International,26.01,+0.36,+1.40%,26.16,25.52,20409,11:13
HSTM,Healthstream Inc,29.56,+0.61,+2.11%,29.59,28.86,38621,11:16
HTLD,Heartland Express,21.33,+0.49,+2.35%,21.33,20.66,85983,11:15
HUBG,Hub Group,43,+0.29,+0.68%,43.27,42.6,68244,11:16
HVT,Haverty Furniture Companies,21.33,+0.29,+1.38%,21.5,21.09,4454,11:15
HW,Headwaters Inc,19.59,-0.06,-0.31%,19.8,19.55,72679,11:15
HWAY,Healthways Inc,15,+0.13,+0.87%,15.1,14.77,82325,11:16
HWKN,Hawkins Inc,39.65,-0.58,-1.44%,39.65,39.65,356,9:35
HZO,Marinemax Inc,24.72,+1.25,+5.33%,24.94,23.43,51388,11:16
IART,Integra Lifesciences Holdings Corp,68.83,+0.76,+1.12%,68.92,67.91,20125,11:16
IBKR,Interactive Brokers Group,37.44,+0.83,+2.27%,37.46,36.58,139647,11:16
ICON,Iconix Brand Group,26.39,+0.62,+2.41%,26.48,25.81,126678,11:16
ICUI,Icu Medical,97.85,+0.71,+0.73%,98.36,96.45,19061,11:15
IGTE,Igate Corp,47.7,+0.02,+0.04%,47.75,47.65,109077,11:08
IILG,Interval Leisure Group,26.2,+0.40,+1.55%,26.25,25.82,19711,11:14
IIVI,Ii-Vi Inc,18.82,+0.10,+0.53%,18.85,18.68,39583,11:16
INDB,Independent Bank,45.87,+0.59,+1.30%,46.09,45.22,24392,11:15
ININ,Interactive Intelligence,44.2,+0.25,+0.57%,44.23,43.68,121805,11:16
INN,Summit Hotel Properties,13.63,+0.01,+0.07%,13.68,13.51,46124,11:16
IO,ION Geophysical Corp,1.57,+0.04,+2.61%,1.65,1.51,365341,11:16
IPAR,Inter Parfums,34.65,+0.18,+0.52%,34.87,34.2,10961,11:12
IPCC,Infinity Property and Casualty Corp,73.04,+0.55,+0.76%,73.27,72.31,7354,11:09
IPCM,IPC The Hospitalist Company,50.07,+0.70,+1.42%,50.07,49.25,27065,11:14
IPHS,Innophos Holdings,53.1,+0.14,+0.26%,53.48,52.94,27577,11:14
IPI,Intrepid Potash Inc,11.41,-0.01,-0.09%,11.49,11.38,97807,11:15
IPXL,Impax Laboratories,50.12,+0.50,+1.01%,50.5,49.03,415383,11:16
IRBT,Irobot Corp,32.72,+0.13,+0.40%,32.9,32.5,57858,11:15
IRC,Inland Real Estate Corp,10.07,-0.03,-0.30%,10.13,10.02,101050,11:16
IRDM,Iridium Communications Inc,10.6,+0.10,+0.95%,10.65,10.33,1211315,11:15
ITG,Investment Technology Group,27.31,-0.23,-0.84%,27.78,27.15,104650,11:16
IVC,Invacare Corp,22.55,-0.02,-0.09%,22.67,22.38,67535,11:16
JACK,Jack In The Box Inc,86.74,+0.78,+0.91%,87.06,86.18,145627,11:16
JBT,John Bean Technologies Corp,37.92,+0.44,+1.17%,38.13,37.44,13595,11:15
