SYM,NAME,LAST,CHANGE,PERCENT,HIGH,LOW,VOLUME,TIME
JCOM,J2 Global Communications Inc,67.24,+0.78,+1.17%,67.34,66.24,277501,11:16
JJSF,J & J Snack Foods,109.46,+1.34,+1.24%,112.97,107.99,4723,11:01
KALU,Kaiser Aluminum Corp,83.63,+0.41,+0.49%,84.17,83.2,25529,11:16
KAMN,Kaman Corp,43.25,+0.59,+1.38%,43.31,42.74,9849,11:08
KELYA,Kelly Services,15.47,+0.20,+1.31%,15.49,15.12,23965,10:58
KFY,Korn/Ferry International,32.84,+0.45,+1.39%,32.94,32.35,43521,11:14
KIRK,Kirkland's Inc,25.5,-1.23,-4.60%,25.51,25.09,95808,11:16
KLIC,Kulicke and Soffa Industries,13.42,+0.21,+1.59%,13.48,13.29,220428,11:16
KND,Kindred Healthcare,22.25,-0.13,-0.58%,22.65,22.21,127778,11:16
KNX,Knight Transportation,29.2,+0.86,+3.03%,29.28,28.25,246536,11:16
KOP,Koppers Holdings Inc,27.01,+0.28,+1.05%,27.27,26.64,64901,11:16
KOPN,Kopin Corp,3.53,+0.07,+2.02%,3.56,3.43,40119,11:13
KRA,Kraton Performance Polymers Inc,23.99,+0.17,+0.71%,24.09,23.73,27812,11:16
KRG,Kite Realty Group Trust,27.2,-0.14,-0.51%,27.3,26.96,78760,11:16
KS,Kapstone Paper and Packaging Corp,26.76,+0.44,+1.67%,26.83,26.29,83081,11:16
KWR,Quaker Chemical Corp,86.56,+0.78,+0.91%,86.56,85.79,2337,11:16
LAD,Lithia Motors,110.59,+2.44,+2.26%,111.38,107.62,126500,11:16
LCI,Lannett Co Inc,56.63,+0.64,+1.14%,57.1,55.84,421534,11:16
LDL,Lydall Inc,28.24,+0.53,+1.91%,28.34,27.72,8182,11:08
LDR,Landauer Inc,35.71,+0.86,+2.47%,35.74,34.91,15525,11:01
LFUS,Littelfuse,98.42,+1.20,+1.23%,98.67,96.55,19527,11:14
LG,Laclede Group,52.58,-0.19,-0.36%,52.83,52.43,50052,11:13
LGND,Ligand Pharmaceuticals Inc,89.81,+5.15,+6.08%,90.16,85.23,157438,11:16
LHCG,LHC Group,36.3,-0.65,-1.76%,37.35,35.44,59698,11:16
LL,Lumber Liquidators Holdings Inc,21.95,-0.06,-0.27%,22.5,21.59,1065079,11:16
LMNX,Luminex Cor,17.24,+0.43,+2.56%,17.25,16.83,79045,11:16
LMOS,Lumos Networks Corp,14.46,+0.24,+1.69%,14.6,14.24,24288,11:12
LNCE,Snyder's Lance Inc,30.49,+0.13,+0.43%,30.68,30.3,33462,11:15
LNN,Lindsay Corp,80.95,+0.20,+0.25%,81.39,80.53,14433,11:16
LOGM,Logmein Inc,64.62,+0.64,+1.00%,64.88,63.83,36789,11:16
LPSN,Liveperson Inc,9.84,+0.26,+2.71%,9.84,9.57,85492,11:16
LQDT,Liquidity Services,10.15,+0.38,+3.89%,10.19,9.81,26238,11:15
LTC,Ltc Properties,42.1,-0.2,-0.47%,42.22,41.79,100516,11:16
LTXB,Legacytexas Financial Group Inc.,26.99,+0.49,+1.85%,27,26.51,35253,11:16
LXP,Lexington Realty Trust,9.22,-0.03,-0.32%,9.27,9.17,349537,11:16
LXU,Lsb Industries Inc,42.91,+0.73,+1.73%,43.1,42.27,31450,11:15
LZB,La-Z-Boy Inc,27.01,+0.13,+0.48%,27.14,26.85,38387,11:16
MANH,Manhattan Associates,55.43,+0.56,+1.02%,55.61,54.9,55574,11:16
MANT,Mantech International Corp,28.88,+0.11,+0.38%,28.99,28.58,15840,11:16
MASI,Masimo Corp,36.27,+0.44,+1.23%,36.27,35.86,56665,11:15
MATW,Matthews International Corp,51.37,+0.78,+1.54%,51.55,50.66,9343,11:08
MATX,Matson Inc,43.05,+1.23,+2.94%,43.36,41.96,71454,11:16
MBFI,MB Financial Inc,33.4,+0.63,+1.92%,33.44,32.87,77867,11:16
MCF,Contango Oil & Gas Company,14.18,-0.05,-0.35%,14.64,14.11,58050,11:16
MCRI,Monarch Casino & Resort,19.7,-0.04,-0.20%,19.75,19.61,7406,11:11
MCRL,Micrel Inc,13.96,+0.02,+0.14%,13.99,13.93,92913,11:16
MCS,Marcus Corp,19.5,+0.16,+0.83%,19.54,19.39,2777,10:47
MDAS,Medassets Inc,21.38,+0.21,+0.99%,21.5,21.07,32214,11:16
MDCO,The Medicines Company,28.69,-0.02,-0.07%,28.89,28.38,121653,11:16
MDSO,Medidata Solutions,56.13,+0.23,+0.41%,56.85,55.6,107519,11:16
MED,Medifast Inc,32.83,+0.06,+0.18%,33,32.72,18755,11:16
MEI,Methode Electronics,48.33,+1.05,+2.22%,48.62,47.3,75969,11:16
MGLN,Magellan Health Services,67.88,+0.42,+0.62%,68.11,67.31,27414,11:08
MHO,M/I Homes,23.31,+0.11,+0.47%,23.37,23.21,24058,11:16
MIG,Meadowbrook Insurance Group,8.54,+0.01,+0.12%,8.54,8.52,11408,11:14
MINI,Mobile Mini,40.49,+0.50,+1.25%,40.81,39.85,23128,11:16
MKSI,Mks Instruments,38.05,+0.01,+0.03%,38.34,37.94,50621,11:14
MKTX,Marketaxess Holdings,89.03,+0.54,+0.61%,89.61,88.4,122897,11:15
MLI,Mueller Industries,36,+0.45,+1.27%,36.1,35.23,17752,11:15
MMSI,Merit Medical Systems,21.15,+0.15,+0.71%,21.29,20.93,33503,11:12
MNRO,Monro Muffler Brake,61.28,+1.31,+2.18%,61.58,59.86,42737,11:16
MNTA,Momenta Pharmaceuticals,21.33,+0.24,+1.14%,21.38,20.86,163091,11:16
MOG.A,Moog Inc,70.08,+0.91,+1.32%,70.66,69.25,19494,11:14
MOH,Molina Healthcare Inc,69.39,-0.96,-1.36%,70.59,69.16,668737,11:16
MOV,Movado Group Inc,27.81,+0.39,+1.42%,27.91,27.17,55433,11:16
MPW,Medical Properties Trust,13.55,-0.15,-1.09%,13.67,13.48,467984,11:16
MPWR,Monolithic Power Systems,54.2,-0.18,-0.33%,54.71,54.15,31952,11:16
MRCY,Mercury Computer Systems,13.84,+0.12,+0.87%,13.96,13.67,14964,11:16
MRH,Montpelier Re Holdings Ltd,38.39,+0.09,+0.23%,38.55,38.31,120247,11:15
MSCC,Microsemi Corp,36.14,+0.06,+0.17%,36.21,36.01,75707,11:16
MSTR,Microstrategy Inc,177.54,+1.66,+0.94%,181.17,176.04,14391,11:16
MTH,Meritage Corp,43.97,+0.69,+1.59%,44,42.84,71547,11:16
MTRN,Brush Wellman Inc,38.59,+0.32,+0.84%,38.96,38.16,14682,11:13
MTRX,Matrix Service Company,17.48,+0.20,+1.16%,17.56,17.05,75160,11:15
MTSC,MTS Systems Corp,69.63,+1.03,+1.50%,70.03,67.57,9574,11:12
MW,Men's Wearhouse,59.82,+0.35,+0.59%,60.23,59.64,130739,11:15
MWW,Monster Worldwide,6.29,+0.03,+0.48%,6.3,6.22,262171,11:16
MYE,Myers Industries,18.24,+0.24,+1.33%,18.45,17.86,11752,11:11
NANO,Nanometrics Inc,16.11,+0.14,+0.88%,16.35,15.87,12535,11:06
NAVG,The Navigators Group,77.16,+0.14,+0.18%,77.29,76.67,32111,11:07
NBTB,NBT Bancorp Inc,25.3,+0.39,+1.57%,25.38,24.91,28227,11:14
NCI,Navigant Consulting,14.02,+0.31,+2.26%,14.11,13.65,24872,11:15
NEOG,Neogen Corp,46.98,+0.18,+0.38%,47.04,46.21,23465,11:10
NEWP,Newport Corp,18.69,+0.01,+0.05%,18.87,18.53,33410,11:15
NILE,Blue Nile Inc,28.57,+0.71,+2.55%,28.57,27.62,26427,11:16
NJR,Newjersey Resources Corp,29.41,-0.12,-0.41%,29.75,29.17,55128,11:15
NOG,Northern Oil and Gas,7.3,+0.07,+0.97%,7.46,7.05,697591,11:16
NP,Neenah Paper,60.64,+0.52,+0.86%,60.89,60,18821,11:14
NPBC,National Penn Bancshares,10.94,+0.19,+1.77%,10.95,10.76,493473,11:16
NPK,National Presto Industries,71.44,+0.29,+0.41%,71.47,71.06,2259,11:12
NPO,Enpro Industries,60.55,+0.19,+0.31%,60.79,60.28,35498,11:16
NR,Newpark Resources,8.88,unch,unch,8.98,8.81,139710,11:15
NSIT,Insight Enterprises,30.67,+0.21,+0.69%,31.03,30.46,61045,11:16
NSP,Insperity Inc,53.47,+0.10,+0.19%,53.61,53.07,28296,11:16
NTCT,Netscout Systems,40.15,+0.82,+2.08%,40.22,39.1,117936,11:15
NTGR,Netgear Inc,31.36,+0.08,+0.26%,31.59,31.11,45444,11:15
NTRI,Nutrisystem Inc,23.71,+0.35,+1.50%,23.88,23.34,248326,11:16
NUVA,Nuvasive Inc,49.62,-0.42,-0.84%,49.8,49.27,173446,11:16
NWBI,Northwest Bancshares,12.36,+0.09,+0.73%,12.39,12.13,97766,11:16
NWE,Northwestern Corp,50.56,-0.57,-1.11%,50.98,50.46,39981,11:16
NWN,Northwest Natural Gas Company,43.38,-0.53,-1.21%,44.13,43.34,38946,11:16
NX,Quanex Building Products Corp,19.42,+2.05,+11.80%,19.92,18.38,382009,11:16
OFG,Oriental Financial Group,13.42,+0.16,+1.21%,13.47,13.21,167551,11:16
OMCL,Omnicell Inc,37.32,+0.47,+1.28%,37.56,36.86,26921,11:14
OMG,Om Group,34,-0.14,-0.41%,34.14,33.98,284511,11:16
ONB,Old National Bancorp Capital,14,+0.21,+1.52%,14.03,13.82,122094,11:16
ORIT,Oritani Financial,14.94,+0.07,+0.47%,15,14.81,19514,11:13
ORN,Orion Marine Group Inc,8,+0.13,+1.65%,8.07,7.86,9178,11:15
OSIS,Osi Systems,73.57,+0.88,+1.21%,73.67,72.52,37223,11:16
OUTR,Outerwall Inc,77.84,+0.87,+1.13%,78.39,76.97,133389,11:16
OXM,Oxford Industries,77.08,+0.97,+1.27%,77.15,76.26,27210,11:10
PBH,Prestige Brand Holdings,45.12,+0.22,+0.49%,45.23,44.62,65284,11:16
PBY,Pep Boys-Manny Moe & Jack,10.51,+0.11,+1.06%,10.62,10.37,155765,11:16
PDCE,Pdc Energy Inc,58.38,-0.44,-0.75%,59.3,57.83,241218,11:16
PEI,Pennsylvania Real Estate Investment,22.65,-0.25,-1.09%,22.85,22.53,156438,11:16
PERY,Perry Ellis International Inc,24.75,+0.21,+0.86%,24.95,24.45,14043,11:14
PES,Pioneer Energy Services Corp,7.16,+0.24,+3.47%,7.35,6.83,329561,11:16
PETS,Petmed Express,16.82,-0.04,-0.24%,16.99,16.79,51198,11:14
PFS,Provident Financial Services,18.45,+0.20,+1.10%,18.48,18.28,27460,11:14
PGN,Paragon Offshore Plc Ordinary S,1.66,-0.02,-1.19%,1.69,1.63,321485,11:15
PGTI,Pgt Industries,12.97,+0.94,+7.81%,13.02,12.43,477583,11:15
PJC,Piper Jaffray Companies,48.13,+0.34,+0.71%,48.26,47.68,36090,11:15
PKE,Park Electrochemical Corp,21.7,+0.35,+1.64%,21.74,21.33,2529,11:04
PKY,Parkway Properties,17.19,+0.07,+0.41%,17.3,17.13,295245,11:16
PLCE,The Children's Place Retail Stores,67.45,+1.25,+1.89%,67.69,66.11,115253,11:14
PLKI,Popeyes Louisiana Kitchen Inc.,55.91,+1.36,+2.49%,55.91,54.43,84732,11:15
PLXS,Plexus Corp,46.28,+0.53,+1.16%,46.38,45.76,31506,11:09
PMC,Pharmerica Corp,32.63,-0.32,-0.97%,32.92,32.55,52899,11:15
PNFP,Pinnacle Financial Partners,51.64,+1.04,+2.06%,51.64,50.83,23333,11:15
PNK,Pinnacle Entertainment,36.74,+0.14,+0.38%,36.8,35.94,244425,11:16
PNY,Piedmont Natural Gas Company,36.86,-0.18,-0.49%,37.02,36.62,50890,11:16
POOL,Pool Corp,67.88,+0.60,+0.89%,68.11,67.05,33370,11:13
POWI,Power Integrations,50.38,+0.24,+0.48%,50.5,49.98,27073,11:15
POWL,Powell Industries,37.62,+0.25,+0.67%,37.88,37.26,2213,11:11
PPS,Post Properties,56.38,-0.56,-0.98%,56.77,56.14,43341,11:14
PQ,Petroquest Energy Inc,1.87,+0.05,+2.75%,1.89,1.82,99018,11:13
PRA,Pro-Assurance Corp,45.22,+0.24,+0.53%,45.31,44.99,40364,11:15
PRAA,Portfolio Recovery Associates,58.46,+0.96,+1.67%,58.58,57.4,75549,11:15
PRFT,Perficient Inc,19.14,+0.11,+0.58%,19.36,19.04,11302,11:16
PRGS,Progress Software Corp,27.01,+0.44,+1.66%,27.03,26.66,23382,11:15
PRSC,The Providence Service Corp,49.07,+0.87,+1.80%,49.63,47.94,38721,11:16
PRXL,Parexel International Corp,66.5,+0.34,+0.51%,66.67,65.97,73157,11:14
PSB,Business Parks,74.33,-0.49,-0.65%,75.36,74.1,7326,11:13
PSEM,Pericom Semiconductor Corp,12.8,+0.05,+0.39%,12.91,12.75,18744,11:15
PVA,Penn Virginia Corp,4.86,-0.06,-1.22%,4.93,4.8,1209959,11:16
PVTB,Privatebancorp,39.49,+0.72,+1.86%,39.54,38.78,100417,11:14
PZZA,Papa John's International,68.92,-0.19,-0.27%,69.66,68.56,52883,11:15
QLGC,Qlogic Corp,15.64,+0.03,+0.19%,15.75,15.62,235768,11:16
QNST,Quinstreet Inc,6.28,+0.06,+0.96%,6.31,6.08,42738,11:13
QSII,Quality Systems,16.08,+0.12,+0.75%,16.29,15.75,77099,11:15
RECN,Resources Connection,15.91,+0.22,+1.40%,15.99,15.58,18383,11:14
REXX,Rex Energy Corp,5.11,+0.04,+0.79%,5.18,4.97,449955,11:16
RGEN,Repligen Corp,40.34,+0.18,+0.45%,40.75,39.64,199891,11:16
RGR,Sturm Ruger & Company,55.33,+0.77,+1.41%,55.91,54.58,40824,11:13
RGS,Regis Corp,16.62,+0.39,+2.40%,16.62,16.24,47881,11:15
RJET,Republic Airways Holdings,10.81,+0.09,+0.84%,10.9,10.63,158998,11:16
RLI,Rli Corp,49.55,+0.74,+1.52%,49.65,48.79,13509,11:14
ROCK,Gibraltar Industries,18.55,+0.57,+3.17%,18.55,18.11,9474,11:16
ROG,Rogers Corp,73.19,+0.44,+0.60%,73.72,72.66,12115,11:14
ROIC,Retail Opportunity Investments,16.26,-0.15,-0.91%,16.38,16.22,83536,11:14
RRGB,Red Robin Gourmet Burgers,84.19,+0.79,+0.95%,85.35,83.26,51945,11:15
RRTS,Roadrunner Transportation Systems Inc,26.06,+0.45,+1.76%,26.39,25.55,23960,11:13
RSTI,Rofin-Sinar Technologies,28.75,+0.36,+1.27%,29.15,28.35,34034,11:16
RT,Ruby Tuesday,6.26,+0.10,+1.62%,6.29,6.13,87107,11:13
RTEC,Rudolph Technologies,12.85,+0.35,+2.80%,12.95,12.5,52786,11:15
RTI,Rti International Metals,35.94,+0.27,+0.76%,36.14,35.63,116221,11:13
RUTH,Ruth's Hospitality Group,14.98,+0.16,+1.08%,15.06,14.73,18066,11:14
RYAM,Rayonier Advanced Materials Inc,17.1,unch,unch,17.2,17.02,36971,11:13
RYL,Ryland Group,42.54,+0.55,+1.31%,42.54,41.68,841987,11:15
SAFM,Sanderson Farms,77.87,-0.25,-0.32%,78.51,77.6,118477,11:16
SAFT,Safety Insurance Group,55.61,+0.40,+0.72%,55.78,55.1,12270,11:15
SAH,Sonic Automotive,23.89,+0.30,+1.27%,24,23.55,43678,11:14
SAIA,Saia Inc,41.62,+0.48,+1.17%,41.73,41.08,87084,11:16
SANM,Sanmina-Sci Corp,21.58,+0.11,+0.51%,21.73,21.43,121169,11:16
SBRA,Sabra Healthcare REIT Inc,26.38,-0.13,-0.49%,26.53,26.26,62370,11:15
SBSI,Southside Bancshares,27.52,+0.73,+2.72%,27.6,26.76,26158,11:15
SCHL,Scholastic Corp,43.99,-0.13,-0.29%,44.28,43.87,43950,11:16
SCL,Stepan Company,51.5,+0.45,+0.88%,51.86,50.66,24691,11:14
SCOR,Comscore Inc,57.89,+0.72,+1.26%,57.97,56.79,53147,11:15
SCSC,Scansource Inc,39.53,+0.49,+1.26%,39.85,38.86,22668,11:14
SCSS,Select Comfort Corp,31.31,+0.85,+2.79%,31.45,30.39,322478,11:16
SEM,Select Medical Holdings Corp,16.42,+0.02,+0.12%,16.49,16.35,108667,11:16
SENEA,Seneca Foods,28.49,-0.31,-1.08%,28.55,28.49,521,11:04
SFNC,Simmons First National Corp,43.85,+0.58,+1.34%,44,43.44,19571,11:14
SFY,Swift Energy Company,2.26,-0.02,-0.88%,2.31,2.23,429450,11:16
SGMS,Scientific Games Corp,16.15,+0.19,+1.19%,16.35,15.9,318707,11:16
SGNT,Sagent Pharmaceuticals Inc,23,+0.36,+1.59%,23.88,22.91,96788,11:15
SGY,Stone Energy Corp,14.15,+0.33,+2.39%,14.3,13.55,286065,11:16
SHLM,A. Schulman,43.96,+0.60,+1.38%,43.96,43.25,115549,11:15
SHOO,Steven Madden,39.81,+1.21,+3.13%,39.97,38.62,175336,11:16
SIGI,Selective Insurance Group,27.55,+0.45,+1.66%,27.78,27.14,95163,11:14
SJI,South Jersey Industries,26.03,-0.06,-0.23%,26.28,25.96,38333,11:16
SKX,Skechers U.S.A.,107.66,+1.61,+1.52%,107.66,106.36,149612,11:16
SKYW,Skywest Inc,14.99,+0.01,+0.07%,15.11,14.79,264109,11:16
SLCA,U.S. Silica Holdings Inc,31.74,+0.51,+1.63%,32.2,31.24,508038,11:15
SMCI,Super Micro Computer,35.04,+0.44,+1.27%,35.08,34.47,70967,11:16
SMP,Standard Motor Products,36.14,+0.29,+0.81%,36.36,35.87,22167,11:12
SMRT,Stein Mart Inc,10.85,+0.02,+0.18%,10.96,10.81,78054,11:16
SNCR,Synchronoss Technologies,50.25,+7.72,+18.15%,50.85,48.85,2348148,11:16
SNX,Synnex Corp,84.33,+1.14,+1.37%,84.55,83.27,26182,11:06
SONC,Sonic Corp,29.95,+0.33,+1.11%,29.99,29.67,285762,11:16
SPF,Standard Pacific LP,8.33,+0.13,+1.59%,8.35,8.12,2310456,11:16
SPOK,Spok Holdings Inc.,16.94,+0.26,+1.56%,17.03,16.59,15849,11:11
SPPI,Spectrum Pharmaceuticals,6.51,+0.32,+5.17%,6.59,6.19,425181,11:16
SPTN,Spartan Stores,32.17,+0.47,+1.48%,32.19,31.61,36853,11:15
SRDX,Surmodics Inc,24.91,+0.20,+0.81%,25.44,24.7,29762,11:16
SSD,Simpson Manufacturing Company,34.74,+0.30,+0.87%,34.84,34.23,24509,11:15
SSI,Stage Stores,16.7,+0.32,+1.95%,16.76,16.43,107468,11:15
SSP,E.W. Scripps Company,23.67,+0.69,+3.00%,23.71,23.11,198582,11:16
SSS,Sovran Self Storage,90.22,-0.75,-0.82%,90.59,89.65,43145,11:14
STBA,S&T Bancorp,27.83,+0.48,+1.76%,27.91,27.21,6475,11:14
STC,Stewart Information Services Corp,38.21,+0.33,+0.87%,38.36,37.93,12493,11:16
STL,Sterling Bancorp,13.76,+0.20,+1.47%,13.81,13.57,65411,11:16
STMP,Stamps.Com Inc,70.91,+1.20,+1.72%,71.26,69.71,34229,11:15
STRA,Strayer Education,45.48,-0.07,-0.15%,46.15,45.29,7671,11:15
SUP,Superior Industries International,19.27,+0.06,+0.31%,19.46,19.27,14868,11:16
SUSQ,Susquehanna Bancshares,14,+0.15,+1.08%,14,13.9,364894,11:16
SWC,Stillwater Mining Company,14.52,+0.02,+0.14%,14.58,14.35,129757,11:14
SWM,Schweitzer-Mauduit International,41.49,+0.65,+1.59%,41.65,40.83,30647,11:16
SWX,Southwest Gas Corp,54.25,-0.33,-0.60%,54.69,54,45199,11:16
SXC,Suncoke Energy Inc,16.56,+0.13,+0.79%,16.74,16.38,50286,11:16
SXI,Standex International Corp,81.72,+1.01,+1.25%,82.05,80.69,9693,11:11
SYKE,Sykes Enterprises Inc,24.7,+0.36,+1.48%,24.84,24.38,16472,11:10
SYNA,Synaptics Inc,100.89,+1.39,+1.40%,101.53,99.25,146885,11:16
SYRG,Synergy Resources Cp,11.89,+0.11,+0.93%,11.89,11.57,281711,11:16
SZMK,Sizmek Inc.,7.04,-0.03,-0.42%,7.09,6.95,25507,11:15
TASR,Taser International,31.87,+0.36,+1.14%,32.35,31.62,776143,11:16
TBI,Trueblue Inc,29.26,+0.37,+1.28%,29.36,28.68,36215,11:16
TCBI,Texas Capital Bancshares,56.62,+1.55,+2.81%,56.82,55.35,102143,11:15
TESO,Tesco Corp,12.33,+0.15,+1.23%,12.48,12.15,44329,11:13
TG,Tredegar Corp,20.7,+0.39,+1.92%,20.84,20.39,2858,11:16
THRM,Gentherm Inc,51.98,+0.02,+0.04%,52.05,51.7,94257,11:11
TILE,Interface,21.99,+0.22,+1.01%,22.05,21.67,47992,11:16
TLMR,Talmer Bancorp Inc.,16.37,+0.40,+2.50%,16.44,16,82506,11:15
TMP,Tompkinstrustco,51.21,+0.23,+0.45%,51.49,50.3,2076,11:03
TNC,Tennant Company,64.32,+0.27,+0.42%,64.51,64.05,12399,11:12
TNGO,Tangoe Inc,13.05,+0.24,+1.87%,13.1,12.83,32279,11:12
TRAK,Dealertrack Holdings,40.77,+0.23,+0.57%,40.91,40.37,137962,11:16
TRST,Trustco Bank Corp NY,6.83,+0.03,+0.44%,6.84,6.72,40553,11:15
TSRA,Tessera Technologies,38.74,+0.14,+0.36%,38.92,38.44,73218,11:14
TTC,Toro Company,68.03,-0.96,-1.39%,69.08,67.99,148569,11:16
TTEC,Teletech Holdings,25.34,+0.01,+0.04%,25.67,25.29,23637,11:09
TTEK,Tetra Tech,26.2,+0.17,+0.65%,26.21,26.04,98019,11:16
TTI,Tetra Technologies,6.56,+0.17,+2.66%,6.58,6.37,236750,11:16
TTMI,TTM Technologies,10.62,-0.16,-1.48%,10.81,10.48,329634,11:16
TTWO,Take-Two Interactive Software,28.37,+0.82,+2.98%,28.46,27.81,1710500,11:16
TUES,Tuesday Morning,13.58,+0.28,+2.11%,13.62,13.26,101092,11:16
TWI,Titan International,11.12,+0.08,+0.72%,11.25,11.05,86539,11:16
TXRH,Texas Roadhouse,35.3,+0.36,+1.03%,35.42,34.93,218808,11:16
TYPE,Monotype Imaging Holdings Inc,25.7,+0.30,+1.18%,25.82,25.31,56598,11:15
UBA,Urstadt Biddle Properties Inc,20.2,-0.06,-0.30%,20.29,20.06,12951,11:16
UBSI,United Bankshares,38.63,+0.58,+1.52%,38.66,38.21,71068,11:16
UCBI,United Community Banks,19.33,+0.24,+1.26%,19.38,18.85,365018,11:16
UEIC,Universal Electronics Inc,53.12,+0.71,+1.35%,53.2,52.15,21463,11:15
UFCS,United Fire Group Inc,30.98,+0.20,+0.65%,31.2,30.55,1816,11:06
UFI,Unifi Inc,32.58,-0.1,-0.31%,32.72,32.26,11084,11:15
UFPI,Universal Forest Products,56.19,+0.70,+1.26%,56.23,55.28,8875,11:14
UHT,Universal Health Realty Income Trust,48.01,-0.02,-0.04%,48.05,47.57,12832,11:04
UIHC,United Insurance Hld,14.35,-0.3,-2.05%,14.77,14.31,54817,11:16
UIL,Uil Holdings Corp,50.13,-0.38,-0.75%,50.49,49.82,86135,11:16
UMBF,UMB Financial Corp,54.55,+1.20,+2.25%,54.71,53.39,76194,11:11
UNF,Unifirst Corp,114.92,+0.55,+0.48%,115.31,113.74,7560,11:14
UTEK,Ultratech Inc,20.55,+0.75,+3.79%,20.75,19.88,101692,11:12
UTI,Universal Technical Institute Inc,8.77,-0.03,-0.34%,8.95,8.7,5328,11:13
UTIW,Uti Worldwide Inc,10.18,+0.46,+4.73%,10.23,9.75,281842,11:16
UVE,Universal Insurance Holdings Inc,26,+0.59,+2.32%,26.07,25.26,99663,11:16
UVV,Universal Corp,52.33,+0.34,+0.65%,52.48,51.91,47053,11:15
VAC,Marriot Vacations Worldwide Cor,90.27,+0.87,+0.97%,90.32,89.48,24509,11:16
VASC,Vascular Solutions,32.71,+0.28,+0.86%,32.85,32.4,10623,11:16
VDSI,Vasco Data Security International,28.49,+1.49,+5.52%,29.19,27.05,1276683,11:16
VECO,Veeco Instruments Inc,31.08,+0.59,+1.94%,31.11,30.69,54667,11:15
VICR,Vicor Corp,13.79,+0.17,+1.25%,13.82,13.67,4972,11:16
VIVO,Meridian Bioscience Inc,18.64,+0.27,+1.47%,18.64,18.35,63617,11:16
VOXX,Audiovox Corp,8.65,+0.23,+2.73%,8.68,8.38,18845,11:09
VRTS,Virtus Investment Partners,127.13,+0.71,+0.56%,128.59,125.75,48982,11:14
VRTU,Virtusa Corp,46.54,+0.19,+0.41%,46.67,46.28,24003,11:15
VRTV,Veritiv Corporation Common Stoc,42.54,+0.53,+1.26%,42.89,42.07,37165,11:15
VSAT,Viasat Inc,64.37,+0.42,+0.66%,64.46,63.57,22639,11:13
VSI,Vitamin Shoppe Inc,40.38,+0.55,+1.38%,40.65,39.74,34787,11:13
VVI,Viad Corp,27.04,+0.21,+0.78%,27.12,26.84,5197,11:15
WABC,Westamerica Bancorporation,46.95,+0.70,+1.51%,47.26,46.39,27637,11:16
WAGE,Wageworks Inc,43.14,-0.49,-1.12%,43.94,43.05,76564,11:16
WD,Walker & Dunlop,25.11,+0.67,+2.74%,25.15,24.45,46498,11:15
WDFC,Wd-40 Company,84.65,+0.42,+0.50%,85.48,83.98,5551,11:06
WGO,Winnebago Industries,21.85,+0.14,+0.64%,21.97,21.66,38474,11:14
WIBC,Wilshire Bancorp,11.42,+0.17,+1.51%,11.44,11.11,88696,11:16
WIRE,Encore Wire Corp,44.85,+0.59,+1.33%,45.26,43.92,10386,11:11
WPP,Wausau-Mosinee Paper Corp,9.9,+0.07,+0.71%,9.96,9.81,16749,11:10
WRLD,World Acceptance Corp,78.05,+2.16,+2.85%,80.15,76.25,111659,11:15
WST,West Pharmaceutical Services,55.47,+0.57,+1.04%,55.62,54.7,47312,11:16
WTFC,Wintrust Financial Corp,51.35,+0.79,+1.56%,51.36,50.61,42713,11:16
WTS,Watts Water Technologies,54.49,+0.25,+0.46%,54.98,54.4,15186,11:15
WWW,Wolverine World Wide,29.49,+0.43,+1.48%,29.54,29.17,124959,11:15
XOXO,Xoxo Group Inc,16.14,-0.06,-0.37%,16.32,16.1,2393,11:14
XXIA,IXIA,12.78,+0.22,+1.75%,12.84,12.57,65684,11:16
ZEP,Zep Inc,19.97,+0.02,+0.10%,19.99,19.95,17115,11:10
ZEUS,Olympic Steel,19.6,+0.69,+3.65%,19.76,18.89,46625,11:15
ZQK,Quiksilver,1.25,+0.07,+5.93%,1.25,1.19,556104,11:16
ZUMZ,Zumiez Inc,29.92,+0.54,+1.84%,30.16,29.36,97475,11:15